Title,News_Type,date,content,url
土城建築工地8樓冒黑煙 雲梯車出動救火,社會,2025/09/01 18:06,新北市消防局出動雲梯車救火。（記者徐聖倫翻攝）工地大樓8樓冒黑煙。（記者徐聖倫翻攝）〔記者徐聖倫／新北報導〕新北市土城發生工地火警，今下午5時許土城區中央路四段一處將完工的10樓建物，8樓突冒黑煙，民眾見狀即刻報案。第一時間消防收到消息有2人受困，所幸2名工人自己走下樓，隨後預防性送醫。消防人員表示，現場為雜物燃燒，因而冒出黑煙，火勢在5分鐘內熄滅，沒有延燒。熱門賽事、球星動態不漏接    ,https://news.ltn.com.tw/news/society/breakingnews/5163462
好友因3500元毒品債務反目 讓台南歸仁警方意外查獲雙槍客,社會,2025/09/01 17:25,歸仁警分局攻堅，逮獲持有槍械的楊姓嫌犯。（民眾提供）〔記者吳俊鋒／台南報導〕台南45歲的陳姓、楊姓男子原本是好朋友，疑因一筆3500元的安非他命債務反目成仇，還相互嗆聲，引起地方騷動，歸仁警分局循線先逮住陳男，起出1把改造手槍，溯源後，該槍械來自楊男，再持續偵辦，上個月底攻堅拘捕，且「槓上開花」，又在住處搜到1把改造手槍；專案小組共查獲2把槍枝、18顆子彈，全是楊嫌所有，小額的毒品糾紛竟然連環爆，意外讓「雙槍客」栽了。由於2嫌內鬨、互嗆，在地方鬧開，歸仁分局是接獲毒品糾紛的線報，進行調查，先跟蹤、逮捕了陳男，沒有搜到安非他命，卻起出1把改造手槍、6顆改造子彈，警方竊喜，繼續追緝來源，希望將地下軍火兵工廠一網打盡。請繼續往下閱讀...歸仁警方報請檢察官指揮偵辦，上個月底，持搜索票前往南區，要拘捕改造槍械所有人的楊男，專案小組確認他在租屋處，部署後，隨即發動攻堅，手腳並用，先踹再撞，配合破門錘，成功衝入房內，當場制伏睡夢中驚醒的嫌犯。專案小組在楊男租屋處又搜出1把改造手槍，以及12顆改造子彈，人贓俱獲，並坦承連同陳男被起出的1把改造手槍與6顆改造子彈全都是他所有，毒品糾紛竟成了破口，讓平時擁槍自重的雙槍客栽跟頭，警方偵訊後依違反槍砲彈藥刀械管制條例將2嫌移送地檢署偵辦。歸仁警分局逮獲楊嫌，搜出改造槍械與子彈。（民眾提供）歸仁警分局攻堅，拘捕持有槍械的楊姓嫌犯。（民眾提供）歸仁警分局幹員部署後，持破門錘攻堅。（民眾提供）熱門賽事、球星動態不漏接    ,https://news.ltn.com.tw/news/society/breakingnews/5163421
無照男撞癱少年僅判11月 他「未減速」非肇事主因,社會,2025/09/01 17:17,劉男駕車行經無號誌路口，剛好被害少年騎自行車從路口左轉駛出，雙方閃避不及發生碰撞，少年被撞飛10多公尺倒地。（民眾提供）〔記者陳冠備／彰化報導〕彰化劉姓男子去年5月某日晚間，開車行經一處無號誌路口時未減速，不慎與一名騎自行車少年發生碰撞，少年被撞飛10多公尺，腦部重創、四肢癱瘓，終身需靠鼻胃管維生。彰化地院審理，根據車輛行車事故鑑定結果認定，少年「騎自行車未開啟燈光」及「轉彎未讓直行車」為肇事主因，但劉男「未減速」也有過失、為次因，依過失致重傷害罪判刑11月。判決書指出，2024年5月9日晚間9時許，劉男駕車行經彰化市茄苳路一段與茄南街無號誌路口，剛好被害少年騎自行車從路口左轉駛出，雙方閃避不及發生碰撞。少年被撞飛10多公尺遠，送醫後診斷為顱骨骨折、硬腦膜下出血、肺出血等嚴重傷勢，最終導致四肢癱瘓、意識障礙，終身需以輪椅代步且全天專人照料。請繼續往下閱讀...事故經彰化縣車輛行車事故鑑定會分析，認定少年「夜間騎自行車未開燈」、「轉彎未讓直行車」，是主要肇事原因；劉男行經無號誌路口未減速慢行，為肇事次因。雖然責任比例上劉男並非主要肇事者，但法院審理認為，劉男無照駕駛已嚴重違反交通安全、且事故造成被害人一家沉重打擊。劉男雖在事後自首，並曾表示願意調解，卻未在調解會出席，至今未賠償任何損害。法官審酌劉男入監前擔任水電工、月薪約3萬元等經濟狀況，最終依過失致重傷害罪，判處劉男有期徒刑11個月。對此，被害家屬不滿對方一毛未賠、認為應加重其刑，並提起附帶民事訴訟，請求損害賠償。熱門賽事、球星動態不漏接    ,https://news.ltn.com.tw/news/society/breakingnews/5163355
花蓮男鎖定「待修機車」下手連偷3輛 兜售贓車竟遇「內行人」秒露餡,社會,2025/09/01 17:08,花蓮縣高姓男子發現機車行外待修機車掛著鑰匙，一連偷了3台被警方逮捕。（警方提供）〔記者王錦義／花蓮報導〕花蓮縣一名高姓男子專門鎖定機車行內的待修機車行竊，上月連續偷了3台，2台藏在偏僻處遭警方尋回，高男擔心被逮竟找其他機車行兜售，沒想到機車行認出是同行失竊車輛，暗中通知業者約出高男後報警逮捕，花蓮警分局依機車竊盜罪予以偵辦。花蓮警分局今指出，自強派出所於日前接獲某機車行報案，稱其店內所有的3台機車接連在不同時間失竊，經警方加強查辦已於日前尋獲2部機車，並循線擴大追查涉嫌人身分。請繼續往下閱讀...後於8月31日，被害人與自強派出所聯繫稱竊車男子於池南地區兜售該部贓車，遂立即通報吉安分局協助調查，即時確認嫌疑人身分，全案後續依涉嫌機車竊盜罪予以偵辦。初步調查，高姓男子鎖定機車行停在外面顧客修理的車子會掛著機車鑰匙，趁店家不注意把機車偷騎到偏僻地點藏匿，8月間連續偷3台，業者氣的報警，花蓮警方順利找回2台機車，高男擔心第3台也被警方找回，急著脫手而跑到其他鄉鎮的機車行尋求收購，但被發現是失竊車輛而通報同行。警方呼籲民眾多注意住家及店家外汽機車的安全防竊措施，降低竊嫌犯罪激發因子、提升犯罪風險以減少竊案的發生。熱門賽事、球星動態不漏接    ,https://news.ltn.com.tw/news/society/breakingnews/5163365
假車貸真房貸！詐團勾結地政士、車商 10人被騙逾6500萬元,社會,2025/09/01 16:51,警方查扣不動產設定抵押證物。（記者姚岳宏翻攝）〔記者姚岳宏／台北報導〕詐騙集團以假投資虛擬貨幣吸引民眾投入畢生積蓄，等他們用完資金後，竟勾結地政士及中古車商，誆騙這些急需用錢的民眾將房子拿去抵押，再向大型融資租賃公司貸款，背負高額利息，警方初步清查至少10人受害，遭詐騙金額達6500餘萬元，其中詐貸金額高達2360萬元，詢後依詐欺、偽造文書、洗錢防制法及組織犯罪防制條例移送台北地檢署偵辦。警方調查，詐團慫恿被害人投資虛擬貨幣，一開始均有帳面上獲利，吸引被害人一再投入資金，等到錢不夠時，再介紹他們去向一家名叫「凱積」的融資仲介公司協助借貸，該公司再向專做車貸的大型融資租賃公司貸款。請繼續往下閱讀...警方調查，由於這些大型融資租賃公司只能做車貸，凱積公司為獲取高額貸款佣金，涉嫌以「假車貸真房貸」手法，勾結地政士及中古車商行，利用被害人需錢孔急且不諳貸款流程情形下，簽署內容部分空白的「分期付款暨債權讓與契約」及「銷售合約書」。且在被害人不知情下，短暫過戶低價中古車至他們名下，作為貸款標的，再以他們的不動產設定抵押擔保，藉以順利快速讓被害人取得高額貸款，成為詐團啃食被害人最後棲身之所的主要幫凶。刑事警察局偵一大隊第二隊今年4月、5月展開2波拘提搜索行動，拘提通知吳姓負責人、地政士、車行負責人等26名犯嫌到案，搜索查扣手機12支、電腦及同意汽車過戶切結書等文件，初步清查被害人共有10人，遭詐騙金額新台幣6534餘萬元，其中凱積公司涉嫌詐貸金額高達2360萬元。警方呼籲，融資公司或民間借貸等相關行業，勿為牟取高額貸款手續費、利息、佣金，利用法律漏洞逃避刑事責任，而淪為詐欺集團幫凶，警方必會嚴正打擊此類犯罪，保障民眾生命財產安全。警方查扣證物。（記者姚岳宏翻攝）假車貸真房貸流程。（記者姚岳宏翻攝）熱門賽事、球星動態不漏接    ,https://news.ltn.com.tw/news/society/breakingnews/5163348
曾捲職棒假球案 「雨刷」蔡政宜涉上億洗錢案被拘提今移送橋檢複訊,社會,2025/09/01 16:42,曾捲職棒假球案，「雨刷」再涉網路賭博洗錢案，昨在桃園機場被攔截拘提。（資料照）〔記者黃良傑／高雄報導〕曾涉入中華職棒假球弊案的嘉義縣議員「雨刷」蔡政宜，被控涉及網路賭博電玩的水房洗錢案，他昨和3、4位嘉義地區好友，準備出境前往越南，在桃園機場被檢警攔截；據了解，橋檢先在高雄查獲水房，查出涉及上億元洗錢金額，鎖定「雨刷」至昨天收網，當時雨刷正準備出境，今午訊後移送橋頭地檢署複訊。「雨刷」蔡政宜被檢調人員帶往偵訊後他的高雄民代親戚也表示關切，據了解，蔡是嘉義縣議員，在高雄三民區也有間房，有時會來高雄居住。請繼續往下閱讀...「雨刷」曾於2009年被控以喝花酒、性招待、恐嚇等方式脅迫球員打假球，涉及職棒簽賭案，當時包括知名球星曹錦輝、張誌家、陳致遠等人都牽扯進來，最後多達35名球員認罪，蔡最終被判刑3年8月。據了解，檢警先在高雄地區查獲一處大型水房，逮捕7、8名嫌犯，查出該水房以東南亞國家為網路賭博機房，疑假藉網賭進行地下匯兌，懷疑現任嘉義縣議員蔡政宜涉有重嫌，昨除了北上桃園機場攔截蔡外，今天再到嘉義、高雄等地搜索其他涉案共犯住處，帶回數人偵訊釐清案情。熱門賽事、球星動態不漏接    ,https://news.ltn.com.tw/news/society/breakingnews/5163315
機車騎士汐止闖紅燈撞傷人 竟棄車逃逸,社會,2025/09/01 16:27,葉姓騎士被撞倒地，頭部出血、四肢擦挫傷。（記者吳昇儒翻攝）〔記者吳昇儒／新北報導〕新北市一名葉姓男子今日上午7時許，騎車行經汐止區三民街直行至康寧街口時，被一輛闖紅燈的機車撞上，當場倒地。肇事騎士竟當場棄車逃逸，丟下葉男不管。熱心民眾趕緊通報119、110，派員前往救援。救護人員抵達時發現葉男四肢擦挫傷、腦出血，緊急送往醫院搶救。警方則調閱周邊監視器，並以車追人，積極追查肇事人員到案。警方初步調查，41歲葉姓機車騎士行經案發路段時，遭闖紅燈的肇事騎士迎面撞上，當場倒地不起，腦部出血，傷勢嚴重。肇事騎士竟選擇棄車逃逸，把車子留在現場。請繼續往下閱讀...救護人員抵達時，發現葉姓患者意識模糊，有腦出血、四肢擦挫傷等傷勢，趕緊將他送往三軍總醫院內湖院區救治。警方目前已調閱周邊監視器，追查肇事者身影，並依照現場遺留的車輛車牌號碼聯繫車主到案說明中。熱門賽事、球星動態不漏接    ,https://news.ltn.com.tw/news/society/breakingnews/5163317
「雨刷」蔡政宜涉洗錢被拘提  嘉檢：該案由橋頭地檢指揮偵辦,社會,2025/09/01 16:15,曾因職棒假球案服刑出獄的無黨籍嘉義縣議員「雨刷」蔡政宜，因涉犯洗錢防制法案件，8月31日在機場欲出境遭拘提到案。（資料照）〔記者王善嬿、丁偉杰／嘉義報導〕曾因職棒假球案服刑出獄的無黨籍嘉義縣議員「雨刷」蔡政宜，因涉犯洗錢防制法案件，8月31日在機場欲出境遭拘提到案。由於稍早傳出蔡政宜是涉及光電恐嚇案被逮，嘉義地檢署今表示，該案由高雄橋頭地檢署檢察官指揮偵辦，該署檢察官8月31日拘提蔡政宜到案並執行搜索，嘉檢沒有協助相關案件偵辦，該案若有一定的進度或強制處分，由橋頭地檢說明。嘉檢表示，各股檢察官包含偵辦光電犯罪案件檢察官，均未協助橋頭地檢偵辦蔡政宜遭拘提逮捕案件。請繼續往下閱讀...中華職棒2009年爆發打假球案震驚社會，蔡政宜為該案共犯之一，犯詐欺罪判刑3年8月，服刑後出獄，2022年以無黨籍當選嘉義縣第4選區（朴子市、六腳鄉、東石鄉）議員。另，嘉義地檢署日前接獲舉報，自稱蔡政宜助理的張簡姓男子與王姓地方人士，去年利用民眾陳情施工擾民機會，假借居中協調，向綠能光電業者勒索，迫使包商交付400萬元，嘉檢認為張簡、王姓男子涉犯恐嚇取財罪嫌重大，向嘉義地院聲請羈押禁見獲准，此案還在偵辦中。熱門賽事、球星動態不漏接    ,https://news.ltn.com.tw/news/society/breakingnews/5163256
公務電腦發現同事妻裸照散布被免職 北市警抗罰敗訴,社會,2025/09/01 16:14,台北市警局中正二分局警備隊黃姓前員警，被控妨害風化之散布猥褻影像罪獲不起訴，但台北市警局認定黃員言行不檢，北市府核定將他一次記2大過免職，他打行政訴訟抗罰，台北高等行政法院更一審仍認為處分無誤，判他敗訴。（資料照，取自黃員臉書）〔記者張文川／台北報導〕台北市警局中正二分局警備隊黃姓前員警，7年前任內在分局的公務電腦內，發現高姓員警儲存的妻子裸照，向媒體爆料還轉傳給2名同事，導致高員被記過，黃員也被依妨害風化之散布猥褻影像罪送辦，雖因和解賠償而獲不起訴，但台北市警局認定黃員言行不檢，嚴重損害公務人員聲譽，北市府核定將他一次記2大過免職，他打行政訴訟抗罰，台北高等行政法院更一審仍認為處分無誤，判他敗訴。可上訴。判決書指出，黃員於2018年間在公務電腦發現高員創建的「camera」資料夾，內有高員生活照，還有高妻的裸照、私密照，黃竟持以向媒體爆料，也散布給2名警察同事。請繼續往下閱讀...高員被市警局記過處分後，控告黃員涉妨害秘密及妨害風化，指控黃員無故蒐集多位同仁、長官出入分局的影片、照片，檢警搜索黃住處，查扣7個隨身硬碟；刑事方面最終黃員賠償並道歉，達成和解撤告，北檢將黃員處分不起訴。市警局同步展開行政調查，考績會認定黃員言行不檢、嚴重損害公務人員聲譽，市府核定記2大過免職，黃員提復審被駁，打行政訴訟抗罰。黃員主張，他投訴高員的違法行為，情節屬實，警局也據以將高員記過，他並未散布不實、杜撰傷害公務人員名譽，沒有惡意，檢方也不起訴，市府卻將他處以最嚴厲的免職處分，剝奪他服公職的權利，違反比例原則。台北高等行政法院一審判黃員敗訴，但最高行政法院認為理由不完備，廢棄發回更審。北高行更一審認定，黃員持他人隱私照向媒體爆料，並傳送給2名同仁，經媒體報導，致高員在家庭、職場、社會大眾的人格評價，遭受嚴重貶損，分局和警方集體聲譽也遭受嚴重損害，檢方不起訴也不影響行政決議，市府的免職處分沒有違誤，再次判黃員敗訴。全案仍可上訴。熱門賽事、球星動態不漏接    ,https://news.ltn.com.tw/news/society/breakingnews/5163254
誘騙豬仔去泰緬稱「想回國就能回國」  台東地檢署起訴4嫌,社會,2025/09/01 16:03,台東地檢署日前指揮關山警分局逮捕4名誘騙民眾到泰緬地區從事詐騙工作的嫌犯並起訴。（示意圖）〔記者劉人瑋／台東報導〕詐騙集團以「想回國就能回國」誘騙許多民眾加入詐團，地點就在緬甸的苗瓦迪地區，也就是在「KK園區」被破獲後距泰國僅隔湄公河處，當然最後所有人都淪為「豬仔」，須付贖金才能回家，而業績未達標就遭電擊、抽馬鞭或跑操場，台東地檢署日前指揮關山警分局逮捕其中4名招募人員並起訴。東檢表示，台東地檢檢察官林威霆指揮台東縣警察局關山分局偵辦被告黃某等4人，自民2024年8月間起加入位在緬甸苗瓦迪地區詐欺園區，該組織由台、緬不詳之人所組成，為吸收機房人員在該詐欺園區從事網路詐騙，從中獲取不法報酬。請繼續往下閱讀...檢警表示，黃某等人佯以介紹至泰國工作，且環境好，薪水高，可賺大錢，想回國即可回國，致多名被害人受騙參與工作，而陸續出國並輾轉被送至園區後就立即遭機房幹部以沒收護照、限制手機使用、外有警衛持長槍等武器固守、辦公室有幹部在身後監控等方式，限制被害人之人身自由，並要求被害人從事假投資真詐財之網路電信詐欺工作。受害者在期間如違反規定或未達業績要求者，即遭幹部以鐵棒、馬鞭、電擊棒等武器毆打或電擊，或罰跑操場、跳青蛙跳、關小黑屋拘禁等處罰，若要求返台，則須支付特定金額始能返回，致淪為俗稱「豬仔」並遭到非人道對待。檢方在逮獲黃嫌等4人後，全案於日前偵查終結，依人口販運防制法第31條第4項第1款、第1項之意圖營利，以詐術、恐嚇、拘禁、監控等方法，使人從事勞動與報酬顯不相當之工作；組織犯罪防制條例第4條第4項、第1項之以非法方法使他人加入犯罪組織；刑法第 296條之1第3項、第1項之加重買賣人口、同法第297條第1項之圖利以詐術使人出國等罪嫌，提起公訴。檢察官表示，被告黃某等4人所涉除從事電信詐欺外，另將「人」作為1買賣標的及籌碼，跨足國際人口販運之範疇，侵害他人權益及破壞法益之維護甚鉅，惡性重大，將持續深入溯源追查。熱門賽事、球星動態不漏接    ,https://news.ltn.com.tw/news/society/breakingnews/5163167
