Title,News_Type,date,content,url
AUKUS持續壯大 美國務院：日本將成為「有能力的參與者」,國際,2025/09/18 18:37,美國國務院評估，日本將會是AUKUS發展過程中「有能力的參與者」，理由在於其在先進防禦系統、工業基礎改善與網路安全協議上的投資。（法新社檔案照）〔國際新聞中心／綜合報導〕根據美國國務院提交國會的1份尚未公開的評估報告，日本將會是「澳英美3方安全夥伴關係」（AUKUS）發展過程中「有能力的參與者」（capable participant），理由在於其在先進防禦系統、工業基礎改善與網路安全協議上的投資。彭博取得這份4頁的文件副本，內容透露日本「表達對多項計畫的興趣」，這些計畫屬於AUKUS協議「第2支柱」（Pillar II）的重點，主要在於技術共享，包括「長程反潛作戰與自主空中平台」。請繼續往下閱讀...該報告日期為5月30日，標註為「敏感但未列入機密」（Sensitive But Unclassified）。報告對日本若受邀參與AUKUS第2支柱的準備情況，持正面態度。今年7月，日本防衛省1名發言人向「詹氏防務週刊」（Janes）表示，日本自衛隊有意擴大在此階段的參與，該階段也涉及協助澳洲建立核動力潛艦部隊。美國國務院1名發言人表示，該報告是按照國會要求提交，不會公開。AUKUS協議於2021年由美國前總統拜登簽署，其核心目標是牽制中國在印太地區的軍事擴張。知情人士透露，川普政府對AUKUS的檢討，重點置於強化該協議，而不是將其推翻。國務院報告稱讚日本的網路安全舉措，指出日本正在「應對資訊共享、人力資源發展，以及人工智慧與雲端等關鍵與新興技術運用方面的重大挑戰」。報告還表示，日本正「積極加強其資訊安全態勢，優先保護與維護機密資訊、先進系統及技術優勢的完整性」。日本已被視為最可能成為首個被邀請加入參與AUKUS第2支柱的國家，就先進國防技術計畫開發展開合作。國務院報告指出，技術磋商仍在進行中，以確定允許日本參與第2支柱所需要的具體項目與需求。根據報告，美方官員「將持續透過既有管道，推進與日本政府的合作，包括高層官員會議、政策對話及外交交流」。日本與澳洲在2023年簽署「相互准入協定」（RAA），允許兩國部隊在彼此領土部署，為日本自1960年與美國結盟以來的首份防務協定。此後，東京又與英國與菲律賓簽署類似協定。熱門賽事、球星動態不漏接    ,https://news.ltn.com.tw/news/world/breakingnews/5182890
畢卡索真跡競標拍賣 估價至少800萬歐元,國際,2025/09/18 18:31,畢卡索的畫作「花帽女士的半身像」週四在法國一家拍賣行公開展示，近期即將拍賣，估價約800萬歐元。（歐新社）祝蘭蕙／核稿編輯〔即時新聞／綜合報導〕畢卡索（Pablo Picasso）為他的情人繪製的一幅肖像畫近期即將在法國一家拍賣行拍出，據拍賣師估價，這幅畫作的價值約為800萬歐元（約合新台幣2.84億），預料成交價可能會更高。《法新社》報導，這幅油畫名為「花帽女士的半身像」（Bust of a woman with a flowery hat），尺寸80 x 60公分；畫中女主角是法國攝影師、畫家、詩人瑪爾（Dora Maar），她也是畢卡索最知名的情人。請繼續往下閱讀...拍賣行德魯奧（Drouot）的拍賣師盧西安（Christophe Lucien）說，「花帽女士的半身像」的價值約在800萬歐元上下，底價可能會更高一些。畢卡索於1943年7月11日繪製了這幅畫，隔年8月，法國一名收藏家將其買下，如今收藏家的孫子女輩決定把這幅罕見的畢卡索真跡售出。熱門賽事、球星動態不漏接    ,https://news.ltn.com.tw/news/world/breakingnews/5182849
空中驚魂！法國客機「空中滯留18分鐘」...因塔台人員睡著了,國際,2025/09/18 18:22,法國一架民航班機日前抵達阿雅克肖時因塔台未回應無法降落。圖為阿雅克肖機場。（路透）祝蘭蕙／核稿編輯〔即時新聞／綜合報導〕法國一架民航班機日前發生驚險一幕，從巴黎飛往科西嘉島的航班在抵達目的地上空後，無法獲得塔台降落許可，被迫在空中盤旋長達18分鐘。法國民航局事後證實，當時負責指揮的一名塔台人員竟然在執勤期間睡著了。《法新社》報導，根據法國民航局今日證實，這起事件發生於當地時間16日，一架由科西嘉航空（Air Corsica）執飛、從巴黎奧利機場（Paris Orly）飛往阿雅克肖（Ajaccio）的客機，在抵達目的地時遲遲無法與塔台聯繫。請繼續往下閱讀...報導指出，因為未獲得塔台准許降落，班機只好在地中海上空盤旋等待，時間長達18分鐘。直到機場消防部門緊急進入控制塔，才發現當班的空中交通管制員已在崗位上打瞌睡，無法進行正常指揮。法國民航局表示，當管制員被喚醒後，航班成功安全降落，未釀成事故，但這起「極不尋常的事件」已引發內部調查。據悉，涉事管制員酒測結果為陰性，目前民航局正考慮進一步的懲處措施。熱門賽事、球星動態不漏接    ,https://news.ltn.com.tw/news/world/breakingnews/5182833
科西嘉塔台航管員睡著了 全機旅客空中盤旋等他醒來,國際,2025/09/18 17:59,科西嘉航空客機。示意圖，與此新聞無關。（法新社）〔編譯管淑平／綜合報導〕一架從巴黎飛往科西嘉島的空中巴士A320客機，因塔台航管員打瞌睡，被迫在空中盤旋將近20分鐘，等這名航管員睡醒，雖然該班飛機最終平安降落，但是法國民航主管機關已經介入調查。《法新社》17日報導，法國民航主管機關證實，該架科西嘉航空（Air Corsica）客機，15日從巴黎歐利機場（Paris Orly airport）飛往科西嘉阿雅丘（Ajaccio）時，在地中海上空繞圈圈，盤旋了「18分鐘」，原因是科西嘉當地機場航管員在值勤中打瞌睡。請繼續往下閱讀...這起事件由科西嘉當地媒體《科西嘉晨報》（Corse Matin）披露後，民航單位對外證實此事，並透露盤旋時間和處理過程。英國《每日郵報》報導，該班機當時載滿旅客，當天延誤了約1個小時，該名航管員是在等待飛機時睡著，因此未開啟機場唯一跑道的跑道燈，機長無法降落，又聯絡不上航管員，只能在上空盤旋，還因為盤旋過久一度先轉向位於該島上另一邊的港市巴斯提亞（Bastia）。在客機盤旋時，機場消防單位急著和塔台聯絡未果，就聯絡警方和機場人員，最終去叫醒那名航管員。民航局表示，「直到機場消防單位到塔台介入，才發現值勤的航管員就在座位上睡著」，等這名航管員被叫醒後，「該班機平安著陸」。主管機關表示，已經針對這起「不尋常狀況」展開調查，儘管該名航管員酒精測試為陰性，但是仍「考慮懲處」。熱門賽事、球星動態不漏接    ,https://news.ltn.com.tw/news/world/breakingnews/5182851
川普索賠4510億 紐時嗆辣反擊：不會被「威嚇伎倆」嚇倒,國際,2025/09/18 17:58,紐時強調，不會被川普的「威嚇伎倆」嚇到。（美聯社資料照）〔編譯陳成良／綜合報導〕針對美國總統川普提起的150億美元 （約新台幣4510億元）天價誹謗訴訟，《紐約時報》做出強硬回擊。其執行長勒菲安（Meredith Kopit Levien）首度公開回應，直斥此案「毫無法律依據」，並強調紐時絕「不會被威嚇伎倆嚇倒」。勒菲安是在16日一場由《金融時報》主辦的會議上，做出上述表示。她認為，川普的訴訟，是針對紐時及其他新聞機構的反媒體行動，旨在嚇阻獨立媒體進行事實報導。紐時發言人也在一份聲明中重申：「這起訴訟毫無法律依據，反而是意圖扼殺獨立報導。紐時將繼續無畏無私地追求事實。」請繼續往下閱讀...令人注意的是，就連向來對川普較為友善的福斯新聞（Fox News），其媒體分析也對此案的勝算，抱持高度懷疑。福斯新聞的分析指出，此案與川普先前成功控告CBS、ABC的案例有著根本性的不同，川普在這次的訴狀中，並未指明任何具體的錯誤報導或不正確之處，而只是籠統地批評其選舉報導。分析認為，此案在法律上的勝算「微乎其微」，其真正目的，可能只是將訴訟當作一種「武器」，迫使被告耗費鉅額的法律費用，藉此達到騷擾與恫嚇的效果。福斯新聞的報導更進一步分析，川普對這家他家鄉的報紙，長年抱持著一種渴望肯定、卻又因負面報導而生的「愛恨情仇」。早年他渴望獲得該報的版面，從政後卻又憎恨其監督。此次提告，被視為是這種複雜情感的延伸。川普在訴狀中，點名了多名曾獲普立茲獎的記者，並指控紐時在2024年大選期間，透過一系列報導，對他進行「選舉干預」。紐約市的《紐約時報》大樓。（路透資料照）熱門賽事、球星動態不漏接    ,https://news.ltn.com.tw/news/world/breakingnews/5182787
自由說新聞》加國挺台哥再爆氣嗆中國「是時候了」！反觀藍邏輯挨轟,國際,2025/09/18 17:54,全新的視界！新聞話題不漏接，快訂閱YouTube 【自由追新聞】，記得開啟小鈴鐺哦！熱門賽事、球星動態不漏接    ,https://news.ltn.com.tw/news/world/breakingnews/5182855
死亡率達97％！印度驚爆食腦蟲疫情 疑戲水感染已釀19死,國際,2025/09/18 17:44,圖為感染食腦變形蟲的腦組織。（路透資料照）〔編譯陳成良／綜合報導〕一種罕見但致命的「食腦變形蟲」感染，正對印度南部喀拉拉邦（Kerala）的公共衛生構成嚴峻挑戰。當地衛生官員警告，今年的疫情不僅病例數顯著增加，其傳播模式的轉變，更可能與氣候變遷有直接關聯，為全球暖化下的公衛風險，再添一筆警訊。據《路透》報導，喀拉拉邦衛生部長喬治（Veena George）17日向議會報告，自今年初以來，該邦已通報約69起由「福氏內格里阿米巴原蟲」（Naegleria fowleri）引起的「原發性阿米巴腦膜腦炎」（PAM），並已導致19人死亡。光是在上個月，就有3人因此喪生，其中包括一名僅3個月大的嬰兒。相較於去年同期的36例與9死，疫情明顯升溫。請繼續往下閱讀...更令當局憂心的是，今年的感染模式出現了重大轉變。喬治指出，「與去年不同，我們沒有看到與單一水源相關的群聚感染。這些都是單一、孤立的個案，這讓我們的流行病學調查變得更加複雜。」這意味致命的變形蟲，可能已廣泛存在於淡水湖泊、河流等環境中，而非特定污染源，讓民眾防不勝防。喀拉拉邦政府在一份官方文件中，已將病例的增加，直接歸咎於全球暖化。文件指出，「氣候變遷導致水溫升高，以及高溫促使更多人進行水上休閒活動，可能會增加與這種病原體的接觸機會。」這種變形蟲通常透過鼻腔進入人體，感染中樞神經系統，全球致死率高達97%。儘管喬治表示，由於檢測技術進步，喀拉拉邦的存活率已提升至24%，但面對氣候變遷下日益普遍的威脅，當局已緊急對水井、水塔及公共沐浴區等，展開大規模的加氯消毒作業。熱門賽事、球星動態不漏接    ,https://news.ltn.com.tw/news/world/breakingnews/5182775
糗大！札克伯格亮相Meta新產品「AI 眼鏡」 現場試用連續出包,國際,2025/09/18 17:28,"Meta執行長馬克・札克伯格（Mark Zuckerberg）日前在一年一度的Meta Connect大會上，重磅發表「AI智慧眼鏡」Ray-Ban Meta 系列及其他穿戴裝置。（美聯社）祝蘭蕙／核稿編輯〔即時新聞／綜合報導〕Meta執行長馬克・札克伯格（Mark Zuckerberg）日前在一年一度的Meta Connect大會上，重磅發表「AI智慧眼鏡」Ray-Ban Meta 系列及其他穿戴裝置，不料現場示範時卻連續出包，語音指令與手勢操作皆失靈，場面一度相當尷尬，札克伯格將故障歸咎於「WiFi太爛了」。綜合外媒報導，在活動中，札克伯格展示了全新Ray-Ban Meta智慧眼鏡、具備抬頭顯示（HUD）功能的「Ray-Ban Display」，並透過連線美食創作者曼庫索（Jack Mancuso），現場演示AI如何協助料理。不過，當曼庫索請求AI協助調製「韓式牛排醬」時，系統未正確回應問題，反而直接跳到中段步驟，並重複：「你已經混合了基底材料，現在請刨梨並加入醬汁。」多次詢問無效後，曼庫索只好無奈收場，並自嘲「可能是WiFi搞砸了」。請繼續往下閱讀...札克伯格也苦笑回應：「最諷刺的是，你花了幾年開發科技，最後卻輸在WiFi上。」然而尷尬還沒結束。稍後他又展示 Ray-Ban Display 眼鏡結合神經手腕帶的即時操作功能，並試圖用手勢接聽技術長博斯沃思（Andrew Bosworth）打來的視訊電話。札克伯格多次嘗試皆未成功，最終還是博斯沃思親自上台「救場」，直言：「這WiFi真是太慘了。」博斯沃思也表示，自己對現場出錯感到非常沮喪，並承諾將與團隊進一步除錯。他說：「這是我負責的團隊，我們一定會搞清楚問題出在哪。」雖然現場示範頻頻出錯，但觀眾反應仍算正面。札克伯格笑稱：「你彩排了一百次，但正式演出永遠有可能出問題。」博斯沃思則補充：「這就是直播的魅力。」Meta's AI glasses failed during live demo at Connect 2025Mark Zuckerberg's $799 Ray-????️an Display demo failed, but these might actually be what Google Glass promised a decade agoDisplay hovers in your vision, use apps without pulling out your phone. Shipping starts in 2026. pic.twitter.com/TUlyPgj3da— Boi Agent One （@boiagentone） September 18, 2025 Meta's AI glasses failed during live demo at Connect 2025Mark Zuckerberg's $799 Ray-????️an Display demo failed, but these might actually be what Google Glass promised a decade agoDisplay hovers in your vision, use apps without pulling out your phone. Shipping starts in 2026. pic.twitter.com/TUlyPgj3da熱門賽事、球星動態不漏接    ",https://news.ltn.com.tw/news/world/breakingnews/5182737
法國大規模罷工 反對馬克宏政府削減預算,國際,2025/09/18 17:09,法國各地今（18）日爆發抗議活動，以反對政府削減公共服務資金計畫。（美聯社）〔編譯謝宜哲／綜合報導〕法國各地今（18）日爆發抗議活動，示威者採取罷工、封鎖交通和遊行等方式，以反對政府削減公共服務資金計畫。根據美聯社報導，警方與示威者在法國首都巴黎之間的首次衝突發生在18日黎明前。從法國大城市到小城鎮都有人舉行示威活動，這些行動都是事先策畫好的。請繼續往下閱讀...發起罷工的主要工會組織，要求政府放棄擬定的預算削減計畫、凍結社會福利以及其他緊縮措施。它們認為，這些措施將進一步削弱低收入和中產階級工人購買力。工會組織譴責這些預算方案對工人、退休人員和其他弱勢群體來說極為殘酷。它們也抨擊政府的退休金改革，該改革將法定退休年齡從62歲提高到64歲。這場大規模抗議與罷工，將同時影響學校、工業與其他領域，旨在向新任總理勒克努（Sébastien Lecornu）施壓。法國總統馬克宏上週任命他為總理，並交付他1項任務，即為備受爭議的預算削減方案爭取國會支持。這些削減措施曾導致勒克努的前任們接連下台。但馬克宏政府堅稱，為了控制法國龐大的赤字與債務，這些措施勢在必行。馬克宏政府表示，為了維持秩序，將部署約8萬名警員的龐大警力。法國國家鐵路公司SNCF指出，前往法國和歐洲的列車可能會出現一些延誤，但大部分列車將正常運行。法國機場則預計影響不大，因為主要的空中交通管制員工會決定延後罷工，等待新內閣任命後再做決定。熱門賽事、球星動態不漏接    ,https://news.ltn.com.tw/news/world/breakingnews/5182663
泰柬邊界又起衝突 柬國總理向聯合國秘書長告狀,國際,2025/09/18 17:05,泰國軍方17日拍攝與發布的空拍照顯示，泰國軍警（下方）在柬泰爭議邊境與柬埔寨民眾對峙。（法新社）〔編譯張沛元／綜合報導〕根據18日公布的1封致呈聯合國秘書長古特瑞斯（Antonio Guterres）的信函，柬埔寨總理洪馬內（Hun Manet）指控說，泰國阻止20多戶柬國平民返回其位於泰柬爭議邊界的家園。但泰國軍方表示，這些柬埔寨居民「非法佔領」泰國領土。今年7月底，泰柬在爆發歷時5天、造成雙方至少43人死亡的衝突後，達成停火協議。此為有著800公里邊界的泰柬因長期爭議不斷的邊境寺廟所爆發的最新衝突。2國此後便互控違反停火協議。請繼續往下閱讀...17日，泰國部隊在1座位於爭議邊境的村莊與民眾對峙時，朝數百名柬國抗議人士發射橡膠子彈與催淚瓦斯。柬國政府稱此舉造成近30人受傷，包括1名士兵與1名佛教僧侶。洪馬內在信中日期為9月17日的信函中告訴古特瑞斯，泰軍自上月起「以架設鐵絲網與路障」等方式「擴大衝突區」，以及「強行」驅逐「長期定居」於柬國西北部班提米安夏省（Banteay Meanchey）的2個邊境村莊的柬國平民。洪馬內寫道：「25戶人家被禁止進入家園與田地」，他並稱泰國軍方發言人已放話會驅逐更多柬國人，以致最後受影響者可能多達「數百戶人家約1000名居民」。泰國陸軍發言人溫泰（Winthai Suvaree）18日在聲明中指出，涉及昨日暴力事件的柬國平民，「故意並非法長期佔領泰國領土」。溫泰還指控說，柬國村民在17日的衝突中以長木棍充當武器，意圖傷害泰國官員與破壞泰國設置的屏障，但柬國軍方人員卻袖手旁觀。洪馬內還在信中告訴古特瑞斯，泰軍「有意動武奪取」沿泰柬邊界的另外17個處的領土。此外，洪馬內也已要求目前擔任東南亞國協（ASEAN）現任輪值主席國的馬來西亞，呼籲泰國勿對平民動武，以及「停止有計劃的強制驅離」。泰柬今年7月爆發數十年來死傷最慘重的軍事衝突，30萬人被迫逃離位於邊境的家園。熱門賽事、球星動態不漏接    ,https://news.ltn.com.tw/news/world/breakingnews/5182747
