Title,News_Type,date,content,url
菲律賓警告：中國間諜長期滲透 恐影響2028年總統大選,國際,2026/03/16 19:58,菲律賓軍方警告，與中國相關的間諜與滲透活動近年呈現成長趨勢。圖為坐灘於仁愛暗沙的菲律賓老舊軍艦「馬德雷山號」。（路透）《菲律賓通訊社》（PNA）報導，菲律賓海軍發言人崔尼代（Roy Vincent Trinidad）16日接受《ANC電視台》訪問時警告，與中國相關的間諜與滲透活動近年呈現成長趨勢，部分行動可能經過長期布局，甚至可能影響菲律賓2028年總統大選。崔尼代指出，菲律賓外國勢力的情報網往往需要多年布局，包括培養「潛伏特務」和滲透政府與社會系統，在總統大選之前尤其值得關注，並舉丹轆省班班市（Bamban）前華裔市長郭華萍的案件為例，警告如果未仔細檢查身分，外國勢力就可能透過長期布局，影響菲律賓地方甚至國家層級的選舉。請繼續往下閱讀...郭華萍在2022年5月當選班班市市長，之後因協助建立非法博弈事業體，觸犯人口販運罪，與另外７名菲律賓和中國籍被告同遭判處無期徒刑，但全案仍可以上訴。而郭華萍因為偽造菲籍身份從政，去年被菲律賓參議員洪迪薇（Risa Hontiveros）質疑為中國間諜。崔尼代表示，菲律賓早在2022年就破獲多起疑似與中共有關的間諜案件，之後幾年都有抓到可疑中國間諜，3月4日再逮捕疑被中國收買的3名菲律賓人，他們被要求蒐集軍事與安全資訊，包括菲律賓南海軍事部署資料，最高報酬可達數十萬菲律賓披索。崔尼代指出，菲律賓軍方已開始透過「內部威脅計畫」（ITP）監控軍方及國防部的潛在安全風險，並已透過這套機制鎖定一些可疑涉案人員；他說，軍方正與菲律賓國安會協調，研究是否將ITP擴展至其他政府機構，以防範政府官員被滲透。崔尼代說，ITP 的出現是因為菲律賓武裝部隊正式將其防禦戰略轉向所謂的「綜合群島防禦概念」（CADC），在這個概念下，軍方的任務是保護菲律賓的所有領土，包括其 200 海里的專屬經濟區。崔尼代指出：「隨著CADC的出現，以及向外部防禦的轉變，菲律賓武裝部隊不得不進行深刻的反思：我們應該如何保護菲律賓武裝部隊、我們的認知領域、我們的人民免受來自國內外、內部和外部的一切威脅？為什麼？因為我們面臨的對手是一個超級大國，這催生了ITP。」    ,https://news.ltn.com.tw/news/world/breakingnews/5372290
衣索比亞上週山崩 州政府稱增至125死,國際,2026/03/16 19:39,衣索比亞上週發生山崩，死亡人數已增加至125人。（美聯社）衣索比亞上週發生山崩，南衣索比亞州（South Ethiopia）政府表示，死亡人數已增加至125人。路透社報導，連日暴雨在加莫地區（Gamo Zone）多個地點引發一系列山崩，當局之前證實，截至12日已有70人罹難。請繼續往下閱讀...南衣索比亞州政府昨天公布，死亡人數已上升至125人。州政府通訊辦公室在臉書（Facebook）發文指出，已有超過1萬1000人被迫撤離家園。總理阿比（Abiy Ahmed）14日在社群平台X寫道，他當天前往山崩現場慰問當地居民，並承諾政府將提供協助。    ,https://news.ltn.com.tw/news/world/breakingnews/5372257
新聞360》川普踩痛點讓中共急了！專家曝台海比荷姆茲海峽更難封鎖,國際,2026/03/16 19:36,全新的視界！新聞話題不漏接，快訂閱YouTube 【自由追新聞】，記得開啟小鈴鐺哦！    ,https://news.ltn.com.tw/news/world/breakingnews/5372250
阿聯富查伊哈港一週兩次遇襲 日產百萬桶原油被迫停工,國際,2026/03/16 19:19,阿拉伯聯合大公國富查伊哈邦（Fujairah）的港口一週兩次遇襲，導致石油工業區陷入火海，原油裝載作業被迫全面暫停。（法新社）中東局勢持續惡化，阿拉伯聯合大公國富查伊哈邦（Fujairah）的港口今日（16日）驚傳遭到無人機襲擊，導致石油工業區陷入火海，原油裝載作業被迫全面暫停。據《路透》報導，兩名知情人士證實，在無人機襲擊引發石油工業區火警後，富查伊哈港已暫停所有石油裝載作業。請繼續往下閱讀...富查伊哈港緊鄰荷姆茲海峽，戰略位置極其重要，每日平均處理約100萬桶原油出口，該運輸量約占全球原油總需求的1%。富查伊哈政府新聞辦公室發表聲明指出，民防團隊目前正全力控制石油工業區的火勢，並強調目前尚無人員傷亡報告。目擊者指出，當日下午工業區內至少有三處火點同時竄出黑煙。值得注意的是，這已是該補給樞紐在短時間內遭遇的第二次重大襲擊。富查伊哈港在上週末遭無人機襲擊後，才剛於週日恢復運作，不料今日再遭襲擊。    ,https://news.ltn.com.tw/news/world/breakingnews/5372248
美右翼名嘴稱與伊朗通聯被查 還扣上外國代理人罪名,國際,2026/03/16 19:17,"美國知名保守派評論員卡爾森在社群平台X上傳影片表示，美國司法部準備在CIA建議下，以伊朗政權「未登記外國代理人」罪名將他起訴。（美聯社）美國知名保守派評論員卡爾森（Tucker Carlson）在社群平台X上傳影片表示，美國司法部準備在中央情報局（CIA）建議下，以伊朗政權「未登記外國代理人」罪名將他起訴。根據「紐約郵報」（New York Post）報導，56歲的卡爾森昨天晚間在社群平台X上發布影片聲稱，「中情局正準備針對我進行某種刑事移送，向司法部提交一份基於所謂我犯下罪行的報告」。請繼續往下閱讀...卡爾森說：「那是什麼罪行？就是戰前與伊朗人士交談。他們（中情局）讀了我的簡訊。」卡爾森聲稱，他將被根據1938年「外國代理人登記法」（Foreign Agents Registration Act）被起訴。該法要求任何接受外國政府資助進行遊說或政治倡議的人員，必須向司法部登記。卡爾森一向公開批評川普總統（Donald Trump）發動的「史詩怒火」（Operation Epic Fury）行動，但他堅決否認自己是伊朗的資產。卡爾森說：「我不是外國勢力的代理人。與許多評論美國政治和全球事務的人不同，我唯一的忠誠對象是美國，且從未做出不利於國家的行為。」他還說，自己從未收受他國資金。「我不需要，也不想要」。這位前福斯新聞頻道（Fox News）主持人說，與外國消息來源接觸是他身為新聞記者和評論員工作的一部分。「我是美國人，可以跟任何人說話。」卡爾森在影片中暗示這項調查具有政治動機。他指出，部分人士對他關於以色列的觀點感到憤怒，並表示「國家在戰爭時期往往會變得更加威權，對異議的容忍度也會大幅降低。」卡爾森過去曾是川普的堅定支持者，且在2月28日美國與以色列聯手打擊伊朗前幾週，曾多次與川普在白宮會面。據信卡爾森與川普上一次會面是2月23日，就在美國駐以色列大使哈克比（Mike Huckabee）接受卡爾森專訪引發爭議後不久。由於會面時機敏感，引發外界臆測卡爾森當時在白宮遭川普總統的當面斥責。卡爾森曾於2025年7月專訪伊朗總統裴澤斯基安（Masoud Pezeshkian）而遭外界抨擊。批評者認為他提供伊朗一個全球性發聲平台，且在訪談過程中未提出任何質疑與反駁。卡爾森曾被指控散布反猶太陰謀論。他先前批評導致伊朗最高領袖哈米尼（Ali Khamenei）身亡的空襲行動「令人反感且邪惡」，並聲稱這場戰爭是為了以色列的利益而戰。這番言論隨即遭到白宮公開譴責。川普3月5日接受美國廣播公司新聞網（ABC News）訪問時說：「我早就知道塔克（卡爾森）迷失了方向…他不屬於MAGA（讓美國再次偉大）…MAGA是美國優先，塔克則完全不是。」When you discover the CIA has been reading your texts in order to frame you for a crime. pic.twitter.com/XgoluHw8EG— Tucker Carlson （@TuckerCarlson） March 14, 2026 When you discover the CIA has been reading your texts in order to frame you for a crime. pic.twitter.com/XgoluHw8EG    ",https://news.ltn.com.tw/news/world/breakingnews/5372182
以色列打擊黎巴嫩南部真主黨 展開「有限地面行動」,國際,2026/03/16 18:57,黎巴嫩首都貝魯特南郊遭以色列連夜空襲後的現場。（法新社）以色列軍方今天表示，已針對黎巴嫩南部真主黨的據點，展開所謂的「有限地面行動」。法新社報導，以色列軍方在聲明中說：「近幾天來，以色列國防軍（IDF）第91師已針對黎巴嫩南部主要的真主黨（Hezbollah）據點，展開有限且目標明確的地面行動，目的是強化前方防禦地區。」請繼續往下閱讀...聲明稱：「這項作戰行動是更大規模防禦措施的一部分，旨在建立並強化前進防禦態勢，包括拆除恐怖組織基礎設施、消滅在當地活動的恐怖分子，以消除威脅，為以色列北部居民增添一層額外的安全保障。」聲明還表示：「在部隊進入該地區之前，以色列國防軍已運用炮兵與以色列空軍對多個恐怖分子目標進行打擊，以減輕作戰環境中的威脅。」美國與以色列2月底聯手對伊朗發動空襲，擊殺伊朗最高領袖哈米尼（Ayatollah Ali Khamenei）後，伊朗支持的真主黨於3月2日對以色列發動攻擊，黎巴嫩因此被捲入中東戰爭。以色列隨後對鄰國黎巴嫩發動空襲，並派遣部隊進入邊境地區。    ,https://news.ltn.com.tw/news/world/breakingnews/5372162
自由觀點》川普拿「川習會」說事 中國多重受害,國際,2026/03/16 18:47,    ,https://news.ltn.com.tw/news/world/breakingnews/5372131
南海口水戰再起！菲律賓怒轟中國：主權不是靠發文就能主張,國際,2026/03/16 18:29,菲律賓政府今（16）日發表嚴正聲明，駁斥中國駐菲律賓大使館有關南海黃岩島主權的說法。2025年8月13日，中國海警在南海爭議海域巡邏。（路透社）菲律賓政府今（16）日發表嚴正聲明，駁斥中國駐菲律賓大使館有關南海黃岩島主權的說法。菲國外交部強調，菲律賓對該海域擁有「不可分割且無可爭議」的主權。據《路透》報導，上週末，中國駐菲大使館在社群媒體發文，指稱一名菲國外交官曾向德國電台承認黃岩島不屬於菲律賓領土。對此，菲律賓外交部發言人維拉紐瓦（Rogelio Villanueva）今日在記者會上明確表示，菲律賓拒絕接受中國擁有南海主權的主張。請繼續往下閱讀...維拉紐瓦表示，「主權不只是靠單方面宣稱，海上與領土主張應受既定的國際法律程序與爭端解決機制約束，而非透過單方面宣告或社群媒體貼文來達成。」黃岩島位於菲律賓海岸約200公里處，位於菲國專屬經濟海域內，緊鄰重要航道且漁業資源豐富，其潟湖更是船隻遇風暴時的避風良港。雖然目前該處由中國海警船實質控制，但其主權歸屬從未正式確定。雖然菲律賓在2016年贏得仲裁法院的裁決，判定中國的「九段線」主張在國際法上無效，但北京至今仍拒絕承認該裁決。    ,https://news.ltn.com.tw/news/world/breakingnews/5372173
中共統戰部高官叛逃！親揭跨國鎮壓內幕 還爆：黨內沒人喜歡習近平！,國際,2026/03/16 18:16,"一名中國省級統戰部的中高級官員叛逃美國，日前露臉接受美媒《CNN》專訪，揭露中共統戰工作內幕。（法新社）一名中國省級統戰部的中高級官員叛逃美國，日前露臉接受美媒《CNN》專訪，揭露中共統戰工作內幕和證實新疆毫無人權可言的集中營的確存在；這名官員還透露，其實大多數「體制內」的人都不喜歡中國國家主席習近平，但表面上仍要逢迎拍馬。現年50歲的馬瑞林（Ruilin Ma），原本是甘肅省統一戰線工作部機關黨委副書記，2024年2月帶著妻小遠走美國，隱姓埋名了一段時間，在紐約一家平凡的麵館工作，但近日他決定站出來，成為罕見公開身分的體制內揭秘者。日前他接受《CNN》專訪，《CNN》透過審閱文件、照片和相關通話紀錄，確認了馬瑞林曾任中共中高層級官員的身分。請繼續往下閱讀...出生於甘肅省甘南藏族自治州下轄臨潭縣的馬瑞林，在甘肅蘭州讀完大學後，就進入中國共產黨的體制內工作了24年，最終一步步升上甘肅統戰部機關黨委副書記。據他所述，他其實在中國的生活優渥，而且仕途也算順遂，「但在那個體制裡待的時間越長，我越是有負罪感，我一直想逃脫那種像牢籠一樣的生活」。馬瑞林表示，他的母親和2個胞妹仍然在中國，恐怕這輩子都難再見到，「我只能期待與我的母親在天園裡面見」。訪談中，馬瑞林揭露中共統戰工作內幕。他表示，統戰部創建於毛澤東時期，習近平掌權後，統戰部編制近乎翻倍，從政治協商機構轉變成與國安、公安緊密結合的龐大監控、宣傳機器。統戰部負責的業務龐雜，除了對台灣、港澳民眾進行所謂認知作戰，還有中國境內黨外人士、少數民族、像網紅這類因網路時代產生的新興族群，還有所有宗教相關的事務。馬瑞林直言，中共的統戰觸手越伸越遠，即便他現在身處美國，他也確信暗地裡還是有中共的人在監控他。本身就曾在統戰部工作的他指出，統戰部通常會透過海外所謂「同鄉會」或學生組織來招募線人、設立「秘密警察站」，在國外恐嚇甚至毆打異議人士。馬瑞林還說，許多中國人到了外國讀書、工作、生活，但還是離不開中共的資訊繭房，因為這些人大多使用微信、小紅書、抖音等被中共在背後控制的平台，接收到的訊息都是中共審查過、重新編譯過的。馬瑞林的證詞為美國司法部近年來多起關於中共「跨國鎮壓」的起訴提供了有力支持，人權組織「保護衛士」（Safeguard Defenders）先前就表示，中國統戰部將「五獨」（台獨、港獨、藏獨、疆獨、法輪功）視為首要對付目標。美國聯邦調查局（FBI）反情報助理主任羅扎夫斯基（Roman Rozhavsky）早前也披露，當前有數百名中國特工正在美國境內運作，對在美的異議人士進行打壓。馬瑞林也證實新疆集中營的存在。他坦承，自己身為回族穆斯林，但其工作重心卻是在監視和他同一種信仰的宗教團體，他曾參與拆除清真寺、驅逐伊瑪目等，這也是他多年來罪惡感不斷累積的主因，因為他是虔誠穆斯林，但他過去這麼長一段時間以來為了保住自己在體制內的工作，表面上不信教，並加入迫害信教者的行列。馬瑞林繼續說道，中共打壓宗教自由，尤其在新疆更為嚴重，「那些集中營關了多少人，現在都還繼續關，你的每一步老大哥都在看著你。」而馬瑞林之所以對新疆集中營如此深刻，是因為甘肅和寧夏的官員，曾被送到新疆去「取經」，學習如何更嚴密地管理穆斯林群體。除此之外，《CNN》記者還順便問了馬瑞林，習近平在黨內究竟受不受歡迎？馬瑞林直言，「按我對大家的了解，私底下沒人喜歡他，但是在檯面上人人都要稱讚他。」馬瑞林表示，他知道自己這次站出來，可能會給人還在中國的母親和妹妹帶來麻煩，但他將這次受訪視為一種「悔罪」，希望能為深陷黑暗的中國穆斯林社群帶來一絲希望，並為過去的行為向受害者道歉。中共國前任甘肅省委統戰部機關黨委專職副書記馬瑞林，公開接受媒體採訪。不僅揭露了中共的統戰黑幕，而且指出了習近平的尷尬處境。（一） pic.twitter.com/Ki04yELWKT— 沐陽 （@muyang909） March 12, 2026 中共國前任甘肅省委統戰部機關黨委專職副書記馬瑞林，公開接受媒體採訪。不僅揭露了中共的統戰黑幕，而且指出了習近平的尷尬處境。（一） pic.twitter.com/Ki04yELWKT    ",https://news.ltn.com.tw/news/world/breakingnews/5372046
無人機事件釀燃料槽火災  杜拜機場逐步恢復起降,國際,2026/03/16 17:22,世界最繁忙國際機場之一的杜拜機場今天因附近1個燃料槽遭「無人機相關事件」影響而起火，導致中斷起降，稍晚當局表示航班正逐步恢復。（法新社）在伊朗持續攻擊波斯灣國家之際，原是世界最繁忙國際機場之一的杜拜機場今天因附近1個燃料槽遭「無人機相關事件」影響而起火，導致中斷起降，稍晚當局表示航班正逐步恢復。法新社報導，杜拜機場在社群媒體平台X發布聲明說：「經過預防性暫時停飛措施後，目前往返杜拜國際機場的航班已逐步恢復，陸續飛往某幾個目的地。」請繼續往下閱讀...杜拜政府媒體辦公室先是表示，杜拜機場附近發生的最新事件影響1個燃料槽；之後又說，當局已控制1起火勢，未傳出人員受傷。2名目擊者告訴法新社，杜拜時間今天上午約10時，他們在機場方向看見升起濃濃黑煙，當時距離所謂無人機事件已過了數小時。伊朗首都德黑蘭附近的燃料庫上週末便遭到攻擊而起火，燒出大量有毒黑色煙霧，導致市區不見天日。杜拜機場的1名目擊者今天表示，攻擊事件發生後，等待搭機的旅客被疏散到較低樓層，並在那裡停留了數小時。阿拉伯聯合大公國的航空公司阿聯酋航空（Emirates）表示，他們預計在杜拜時間今天上午10時後執行「有限航班」，另有一些航班則已取消。    ,https://news.ltn.com.tw/news/world/breakingnews/5372112
